"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
3.3026701022456e-06,-0.47978907886149,0.239,0.289,0.0829927969993296,"Nrros","Not Significant"
3.33515482727806e-06,-0.497155527452381,0.13,0.179,0.0838091056546703,"Cd36","Not Significant"
3.88585033462276e-06,-0.465842757471337,0.26,0.312,0.0976475330587353,"Nfkbid","Not Significant"
4.20153005059586e-06,0.490044337209661,0.222,0.161,0.105580248641423,"Prdx6","Not Significant"
4.4428905472606e-06,-0.341846780221188,0.182,0.234,0.111645396562112,"Smim11","Not Significant"
4.50070722429407e-06,-0.265496276378039,0.477,0.533,0.113098271839286,"Rnf130","Not Significant"
5.03931503511763e-06,-0.280886588288432,0.38,0.44,0.126632947517471,"Irf2bp2","Not Significant"
5.59296721819308e-06,-0.68369199008377,0.205,0.252,0.140545673225974,"Arl5c","Not Significant"
5.59763471033601e-06,0.312704659805975,0.523,0.466,0.140662962636034,"Ptpn6","Not Significant"
5.85618430107126e-06,0.824705520948939,0.109,0.065,0.14716005530162,"Igtp","Not Significant"
6.06362945951653e-06,-0.314727923798683,0.381,0.431,0.152372944688191,"Tm6sf1","Not Significant"
6.48922996755536e-06,1.07662900896422,0.133,0.087,0.163067859854699,"Gbp2","Not Significant"
6.66512079723119e-06,-0.497024885303344,0.089,0.129,0.167487820513623,"Rab12","Not Significant"
7.1361348125847e-06,-0.637510782180131,0.084,0.123,0.179323931705441,"Hist1h2bc","Not Significant"
7.16620767660834e-06,0.358165731665166,0.466,0.401,0.180079632705491,"Akap13","Not Significant"
7.70771897522013e-06,0.618474603734022,0.188,0.132,0.193687270128307,"Mybbp1a","Not Significant"
7.82747025531811e-06,-0.295889062136059,0.294,0.35,0.196696500045889,"Comt","Not Significant"
8.02751024781697e-06,0.583130479180033,0.179,0.123,0.201723305017393,"Rnf10","Not Significant"
8.9449954159959e-06,-0.310563100062054,0.297,0.352,0.224778789808561,"Fcgrt","Not Significant"
9.08859186423482e-06,-0.285749536136887,0.231,0.285,0.228387224956357,"Tecr","Not Significant"
9.43731915815767e-06,0.770844452789115,0.103,0.061,0.237150393125344,"Gpr35","Not Significant"
1.07079787357595e-05,-0.344422373850583,0.225,0.274,0.269080797650901,"Hfe","Not Significant"
