"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.79939465698642e-48,1.03026120444619,0.252,0.113,1.20205638578882e-43,"31","Cnpy3"
6.26422520947805e-48,0.729370874004966,0.32,0.154,1.56893784596587e-43,"31","Rest"
6.74851902260502e-48,0.725599481032138,0.419,0.229,1.69023407440165e-43,"31","Znrd1"
8.21083238080227e-48,0.415116574671193,0.858,0.646,2.05648507809574e-43,"31","Psmb3"
9.91385545505831e-48,0.542556046946303,0.657,0.43,2.4830242372739e-43,"31","Ndufb2"
1.07214735730594e-47,0.767738253370953,0.418,0.233,2.68530027110845e-43,"31","Bzw2"
1.11583725428914e-47,1.00583726902908,0.276,0.13,2.79472598709259e-43,"31","Pank2"
1.59269095440884e-47,0.529714472780461,0.552,0.326,3.98905376441238e-43,"31","Sms"
1.71095783748295e-47,0.635605649427572,0.506,0.297,4.2852649997598e-43,"31","Mrps12"
1.96523024110205e-47,0.787522366711709,0.395,0.215,4.9221156618642e-43,"31","Txnl4a"
2.02303047765206e-47,1.08567041511332,0.251,0.114,5.06688213432735e-43,"31","Iars"
2.65368849515138e-47,0.391678705736664,0.976,0.875,6.64642820495615e-43,"31","Sub1"
3.10245356723823e-47,0.547183349596857,0.548,0.325,7.77040520450487e-43,"31","Tram1"
3.47425902935219e-47,0.931614193525612,0.289,0.138,8.7016291649155e-43,"31","Pop7"
3.541478495152e-47,0.826364882257059,0.384,0.208,8.86998703895769e-43,"31","Erg28"
3.69573886761669e-47,0.63775121571357,0.501,0.293,9.25634756783276e-43,"31","Matr3"
3.87219256331148e-47,0.383473539288439,0.896,0.726,9.69829349406992e-43,"31","Smdt1"
4.98228744595297e-47,0.603122314733026,0.5,0.291,1.24786371371338e-42,"31","Dph3"
5.33052584409049e-47,0.868471762946228,0.319,0.159,1.3350835029109e-42,"31","Timm44"
6.01670158667998e-47,0.91548057495734,0.301,0.147,1.50694307939987e-42,"31","Ciapin1"
6.20383214275031e-47,0.687006268358612,0.326,0.16,1.55381179847324e-42,"31","Anxa3"
6.67814656592941e-47,1.01089587957926,0.252,0.114,1.67260858890268e-42,"31","Mrpl1"
7.22692070040757e-47,0.724849289769779,0.407,0.222,1.81005455862408e-42,"31","Rbm22"
7.72059888903907e-47,0.681084185616066,0.422,0.232,1.93370119774873e-42,"31","Safb2"
1.2997161544759e-46,0.795346143558738,0.382,0.206,3.25526908050035e-42,"31","Commd4"
1.33728521568315e-46,0.883795457666144,0.351,0.184,3.34936455120001e-42,"31","Hnrnpll"
1.5496037798985e-46,0.961626262366756,0.285,0.137,3.88113762713378e-42,"31","Nom1"
1.82900024341797e-46,0.677056414108554,0.41,0.224,4.58091400966465e-42,"31","Kdelr2"
1.99712407655728e-46,0.884476589505491,0.319,0.16,5.00199696214535e-42,"31","Nol11"
2.08482691247622e-46,0.461956139926439,0.699,0.455,5.22165748498795e-42,"31","Myl12a"
